sensor_0,sensor_1,sensor_2,sensor_3,sensor_4,sensor_5,sensor_6,sensor_7,sensor_8,sensor_9,sensor_10,sensor_11,eta
71.4,71.6,71.6,71.1,71.7,71.2,71.3,70.5,71.5,70.7,71.5,70.9,0.8450704225352113
71.6,71.6,71.1,71.7,71.2,71.3,70.5,71.5,70.7,71.5,70.9,71.0,0.841514726507714
71.6,71.1,71.7,71.2,71.3,70.5,71.5,70.7,71.5,70.9,71.0,71.3,0.8379888268156425
71.1,71.7,71.2,71.3,70.5,71.5,70.7,71.5,70.9,71.0,71.3,71.6,0.8391608391608392
71.7,71.2,71.3,70.5,71.5,70.7,71.5,70.9,71.0,71.3,71.6,71.5,0.8368200836820083
71.2,71.3,70.5,71.5,70.7,71.5,70.9,71.0,71.3,71.6,71.5,71.7,0.8462623413258109
71.3,70.5,71.5,70.7,71.5,70.9,71.0,71.3,71.6,71.5,71.7,70.9,0.841514726507714
70.5,71.5,70.7,71.5,70.9,71.0,71.3,71.6,71.5,71.7,70.9,71.3,0.8426966292134831
71.5,70.7,71.5,70.9,71.0,71.3,71.6,71.5,71.7,70.9,71.3,71.2,0.8450704225352113
70.7,71.5,70.9,71.0,71.3,71.6,71.5,71.7,70.9,71.3,71.2,71.0,0.84985835694051
71.5,70.9,71.0,71.3,71.6,71.5,71.7,70.9,71.3,71.2,71.0,70.6,0.8462623413258109
70.9,71.0,71.3,71.6,71.5,71.7,70.9,71.3,71.2,71.0,70.6,70.9,0.8426966292134831
71.0,71.3,71.6,71.5,71.7,70.9,71.3,71.2,71.0,70.6,70.9,71.2,0.8462623413258109
71.3,71.6,71.5,71.7,70.9,71.3,71.2,71.0,70.6,70.9,71.2,70.9,0.8462623413258109
71.6,71.5,71.7,70.9,71.3,71.2,71.0,70.6,70.9,71.2,70.9,70.9,0.8438818565400844
71.5,71.7,70.9,71.3,71.2,71.0,70.6,70.9,71.2,70.9,70.9,71.1,0.8426966292134831
71.7,70.9,71.3,71.2,71.0,70.6,70.9,71.2,70.9,70.9,71.1,71.2,0.8486562942008486
70.9,71.3,71.2,71.0,70.6,70.9,71.2,70.9,70.9,71.1,71.2,70.7,0.84985835694051
71.3,71.2,71.0,70.6,70.9,71.2,70.9,70.9,71.1,71.2,70.7,70.6,0.841514726507714
71.2,71.0,70.6,70.9,71.2,70.9,70.9,71.1,71.2,70.7,70.6,71.3,0.8450704225352113
71.0,70.6,70.9,71.2,70.9,70.9,71.1,71.2,70.7,70.6,71.3,71.0,0.8450704225352113
70.6,70.9,71.2,70.9,70.9,71.1,71.2,70.7,70.6,71.3,71.0,71.0,0.84985835694051
70.9,71.2,70.9,70.9,71.1,71.2,70.7,70.6,71.3,71.0,71.0,70.6,0.8450704225352113
71.2,70.9,70.9,71.1,71.2,70.7,70.6,71.3,71.0,71.0,70.6,71.0,0.8462623413258109
70.9,70.9,71.1,71.2,70.7,70.6,71.3,71.0,71.0,70.6,71.0,70.9,0.8426966292134831
70.9,71.1,71.2,70.7,70.6,71.3,71.0,71.0,70.6,71.0,70.9,71.2,0.847457627118644
71.1,71.2,70.7,70.6,71.3,71.0,71.0,70.6,71.0,70.9,71.2,70.8,0.851063829787234
71.2,70.7,70.6,71.3,71.0,71.0,70.6,71.0,70.9,71.2,70.8,70.5,0.8438818565400844
